
Regions,Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday,Total
Zambezi,11, 14, 13, 7, 3, 14, 19,81
Erongo,84, 55, 51, 52, 53, 78, 105,478
Hardap,42, 17, 16, 15, 22, 31, 33,176
"//Karas",22 ,19, 13, 9, 14, 23, 19,119
Kavango (East & West),30, 21, 13, 24, 15, 27, 35,165
Khomas,241, 193, 192, 194, 203, 249, 342,1614
Kunene,18, 3, 6, 13, 20, 10, 17,87
Ohangwena,31, 18, 14, 18, 17, 27, 31,156
Omaheke,17, 11, 8, 4, 7, 20, 18,85
Omusati,25, 26, 18, 20, 22, 26, 39,176
Oshana,63, 32, 38, 40, 47, 69, 75,364
Oshikoto,32, 35, 25, 31, 28, 35, 54,240
Otjozondjupa,68, 49, 48, 41, 57, 61, 69,393
Total,684, 493, 455, 468 ,508, 670, 856,4134
